Position,Location,Company Name,Num Applicants,Sector,Num Employees,Position Type,Remote,Easy Apply
Software Developer,Porto Metropolitan Area,"MedicineOne, Life Sciences Computing","
            2 applicants
          ",None,51-200 employees,Full-time,False,True
Frontend Web Developer,"Lisbon, Portugal",Deloitte,None,Management Consulting,"10,001+ employees",Full-time · Associate,False,True
RPA Developer (m/f),"Lisbon, Lisbon, Portugal",ADENTIS,"
            1 applicant
          ",Information Technology & Services,201-500 employees,Full-time · Entry level,False,False
Java Developer,"Lisbon, Portugal",CGI,"
            6 applicants
          ",Information Technology & Services,"10,001+ employees",Full-time · Associate,False,False
Python Developer (M/F),"Lisbon, Lisbon, Portugal",Affinity Portugal,"
            23 applicants
          ",Information Technology & Services,201-500 employees,Full-time · Entry level,False,True
Application Support Engineer,"Porto, Portugal",Retail Consult,None,Information Technology & Services,201-500 employees,Full-time · Associate,False,True
ETL Developer @ AMS,"Lisbon, Lisbon, Portugal",Volkswagen Digital Solutions,"
            9 applicants
          ",Information Technology & Services,51-200 employees,Full-time · Entry level,False,False
Audio Developer,"Lisbon, Lisbon, Portugal",Evolution,"
            4 applicants
          ",Gambling & Casinos,"5,001-10,000 employees",Full-time · Entry level,False,False
Consultor de Software PHC (M/F),"Aveiro, Aveiro, Portugal",None,None,Information Technology & Services,11-50 employees,Full-time · Associate,False,False
Python Developer (m/f),"Lisbon, Lisbon, Portugal",Bee Engineering ICT,None,Information Technology & Services,51-200 employees,Full-time · Entry level,False,False
Senior FullStack Developer,"Leiria, Leiria, Portugal",Glartek,"
            0 applicants
          ",None,None,Contract · Associate,False,False
SQL Developer (M/F),"Lisbon, Lisbon, Portugal",askblue,"
            0 applicants
          ",Information Technology & Services,201-500 employees,Full-time · Entry level,False,False
Front End Engineer,"Porto, Portugal",Tlantic,"
            11 applicants
          ",None,51-200 employees,Full-time,False,True
Junior Java Developer,"Lisbon, Portugal",Deloitte,None,Management Consulting,"10,001+ employees",Full-time · Associate,False,True
BackEnd Developer (M/F),"Lisbon, Lisbon, Portugal",InnoWave,"
            0 applicants
          ",Information Technology & Services,201-500 employees,Full-time · Mid-Senior level,False,False
Fullstack Developer (m/f),"Lisbon, Lisbon, Portugal",Match Profiler,"
            0 applicants
          ",Computer Software,51-200 employees,Full-time · Entry level,False,False
Python Cloud Platform Developer,"Lisbon, Lisbon, Portugal",Siemens,"
            0 applicants
          ",Industrial Automation,"10,001+ employees",Full-time,False,False
Full-Stack Developer .Net AWS (m/f),"Lisbon, Lisbon, Portugal",Mind Source,"
            0 applicants
          ",Information Technology & Services,51-200 employees,Full-time · Entry level,False,False
Full-stack Developer (M/F),"Guimarães, Braga, Portugal",Spring Professional,"
            0 applicants
          ",Staffing & Recruiting,"501-1,000 employees",Full-time · Entry level,False,False
Backend Developer - PHP,"Porto, Portugal",Jumia Porto Tech Center,"
            4 applicants
          ",None,None,None,False,False
Frontend Developer,"Funchal, Madeira Island, Portugal",Asseco PST,None,None,201-500 employees,Full-time,False,True
Senior Intelligent Automation Developer (M/F),"Porto, Porto, Portugal",Adidas,"
            0 applicants
          ",None,None,Full-time · Associate,False,False
Business Intelligence | Porto e Braga,"Porto, Porto, Portugal",Smart Consulting,"
            0 applicants
          ",Information Technology & Services,51-200 employees,Full-time · Entry level,False,False
FullStack Developer (m/f),"Lisbon, Lisbon, Portugal",Noesis,"
            0 applicants
          ",Information Technology & Services,"501-1,000 employees",Full-time · Entry level,False,False
SQL Developer,"Lisbon, Lisbon, Portugal",Growin,"
            1 applicant
          ",Information Technology & Services,201-500 employees,Full-time · Entry level,False,False
Business Intelligence Developer (m/f),"Porto, Porto, Portugal",Michael Page,"
            0 applicants
          ",Staffing & Recruiting,"5,001-10,000 employees",Full-time · Associate,False,False
Cloud Developer - Porto,"Porto, Porto, Portugal",Accenture Portugal,"
            0 applicants
          ",Information Technology & Services,"1,001-5,000 employees",Full-time · Mid-Senior level,False,False
Python Developer (m/f),"Lisbon, Lisbon, Portugal",Red IT,"
            1 applicant
          ",Information Technology & Services,51-200 employees,Full-time · Entry level,False,False
Data Architect (M/F),"Lisboa, Lisbon, Portugal",askblue,"
            0 applicants
          ",Information Technology & Services,201-500 employees,Full-time · Associate,False,False
DBA (Junior) (m/f),"Lisbon, Lisbon, Portugal",Bee Engineering ICT,None,Information Technology & Services,51-200 employees,Full-time · Entry level,False,False
BI Microsoft Developer (m/f),"Lisbon, Lisbon, Portugal",ADENTIS,"
            1 applicant
          ",Information Technology & Services,201-500 employees,Full-time · Associate,False,False
Consultor / Programador de Software PHC Manufactor (M/F),"Aveiro, Aveiro, Portugal",None,None,Information Technology & Services,11-50 employees,Full-time · Entry level,False,False
Full Stack Developer | Java/Angular (M/F),"Coimbra, Coimbra, Portugal",InnoWave,"
            1 applicant
          ",Information Technology & Services,201-500 employees,Full-time · Mid-Senior level,False,False
FullStack Developer,"Lisbon, Portugal",Smart Consulting,"
            3 applicants
          ",Information Technology & Services,51-200 employees,Full-time · Mid-Senior level,False,True
.Net Developer,"Braga, Portugal",Checkmarx,"
            6 applicants
          ",Computer & Network Security,"501-1,000 employees",Full-time · Associate,False,True
Backend Developer (M/F),"Porto, Portugal",Capgemini Engineering,"
            6 applicants
          ",Information Technology & Services,"10,001+ employees",Full-time · Mid-Senior level,False,True
Back-End Developer,"Lisbon, Portugal",PrimeIT,"
            7 applicants
          ",Information Technology & Services,"1,001-5,000 employees",Full-time · Associate,False,True
FullStack Developer (m/f),"Lisbon, Lisbon, Portugal",Noesis,"
            0 applicants
          ",Information Technology & Services,"501-1,000 employees",Full-time · Entry level,False,False
Software Developer – DevOps (Cloud),"Lisbon, Portugal",agap2IT Portugal,"
            2 applicants
          ",Information Technology & Services,201-500 employees,Contract,False,True
Cloud Developer - Aveiro,"Lisbon, Lisbon, Portugal",Accenture Portugal,"
            1 applicant
          ",Information Technology & Services,"1,001-5,000 employees",Full-time · Mid-Senior level,False,False
Java Developer,"Lisbon, Portugal",NEX T Engineering,"
            13 applicants
          ",Information Technology & Services,11-50 employees,Full-time · Mid-Senior level,True,True
Angular Developer,"Lisbon, Lisbon, Portugal",Affinity Portugal,None,Information Technology & Services,201-500 employees,Full-time · Entry level,False,True
Python Developer,Lisbon Metropolitan Area,PrimeIT,"
            18 applicants
          ",Information Technology & Services,"1,001-5,000 employees",Full-time · Associate,False,True
SQL Developer,"Lisbon, Lisbon, Portugal",Growin,"
            1 applicant
          ",Information Technology & Services,201-500 employees,Full-time · Entry level,False,False
Agile Coach (M/F),"Lisbon, Portugal",askblue,"
            19 applicants
          ",Information Technology & Services,201-500 employees,Full-time · Mid-Senior level,False,True
